differing_column,row1_index,row2_index,condition_case
Formula Additive 2,19946,22658,row2
Formula Additive 2,20974,21810,row1
Formula Additive 2,21810,22658,row2
Formula Additive 2,19962,20974,row2
Formula Additive 2,19962,22658,row2
Formula Additive 2,19962,21810,row2
Formula Additive 2,14697,25238,row1
Formula Additive 2,14697,28967,row1
Formula Additive 2,14697,29042,row1
Formula Additive 2,14697,29960,row1
Formula Additive 2,25238,28967,row1
Formula Additive 2,25238,29042,row1
Formula Additive 2,25238,29960,row1
Formula Additive 2,28967,30028,row2
Formula Additive 2,29042,30028,row2
Formula Additive 2,14736,19986,row1
Formula Additive 2,14750,19986,row1
Formula Additive 2,15654,19986,row1
