No,date,Fa1,Fa2,Fa3,Fa5,Fa6,Fa7,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,FF,FF_pred
40422.0,20250409.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,2.0,1.0,10.0,0.198,5.0,0.066,6.0,0.066,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.0,5.0,0.5,3.0,0.4,0.0,0.0,5000.0,33.0,9.0,120.0,100.0,5.0,76.0388,82.734566
32859.0,20250312.0,0.05,0.15,0.8,3.0,0.0,1.53,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,12.0,5746.0,45.0,9.0,150.0,110.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8108,76.845436
29039.0,20250218.0,0.1,0.0,0.9,2.8,0.2,1.5,2.0,4.0,4.0,0.6,0.0,0.0,10.0,0.198,1.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,10.0,5000.0,30.0,8.0,200.0,120.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2069,72.33702
16607.0,20241206.0,0.05,0.16,0.79,2.9,0.1,1.73,3.0,7.2,0.0,0.0,0.0,0.0,10.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.112,70.46019
6948.0,20241024.0,0.05,0.15,0.8,2.85,0.15,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,10.0,120.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.823,80.764366
18662.0,20241212.0,0.05,0.16,0.79,2.9,0.1,1.73,6.0,2.1,0.0,0.0,0.0,0.0,9.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7146,71.15562
23449.0,20241227.0,0.1,0.0,0.9,2.8,0.2,1.5,2.0,3.5,3.0,12.0,0.0,0.0,9.0,0.11,11.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,10.0,5000.0,30.0,8.0,200.0,110.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8075,74.84762
26797.0,20250108.0,0.05,0.16,0.79,2.9,0.1,1.73,6.0,0.72,1.0,2.3,0.0,0.0,10.0,0.2475,6.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,12.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,69.90759
36758.0,20250318.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,31.0,12.0,120.0,105.0,5.0,80.5458,79.78932
23462.0,20241227.0,0.1,0.0,0.9,2.8,0.2,1.5,2.0,3.5,3.0,12.0,0.0,0.0,9.0,0.11,1.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,10.0,5000.0,30.0,8.0,200.0,110.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7165,74.47871
26719.0,20250107.0,0.05,0.16,0.79,2.9,0.1,1.73,6.0,0.72,1.0,2.3,0.0,0.0,11.0,0.188571429,11.0,0.141428571,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,12.0,5400.0,25.0,7.0,180.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2723,78.299355
38905.0,20250331.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.188571429,6.0,0.125714286,3.0,0.015714286,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.0,5.0,0.5,4.0,4.5,0.0,0.0,4900.0,31.0,14.0,120.0,100.0,5.0,80.866,82.57989
37345.0,20250320.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,0.5,10.0,1.0,0.0,0.0,0.0,0.0,5000.0,30.0,11.0,100.0,100.0,7.0,75.1435,76.35478
37078.0,20250319.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.165,6.0,0.11,6.0,0.055,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,31.0,10.0,100.0,100.0,7.0,82.7844,81.92873
586.0,20240912.0,0.05,0.15,0.8,2.95,0.05,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,120.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.72,71.78184
22867.0,20241226.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,6.0,0.7,0.0,0.0,13.0,0.0825,11.0,0.2475,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4651,72.27343
25456.0,20250104.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,5.0,0.8,0.0,0.0,10.0,0.198,10.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12.0,5400.0,25.0,6.0,210.0,105.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2304,72.553535
26934.0,20250108.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,6.0,0.7,0.0,0.0,14.0,0.0825,6.0,0.2475,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,15.0,5000.0,35.0,12.0,220.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8928,74.79769
33318.0,20250114.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,6.0,0.7,0.0,0.0,14.0,0.0825,6.0,0.2475,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,15.0,5000.0,30.0,6.0,160.0,110.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,30.0,5.0,100.0,110.0,8.0,84.1258,80.79038
39786.0,20250407.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,5.0,0.066,6.0,0.066,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.0,5.0,0.5,4.0,2.0,0.0,0.0,4900.0,31.0,8.0,130.0,100.0,5.0,83.2906,82.75588
34379.0,20250119.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,35.0,15.0,200.0,110.0,15.0,6.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,28.0,12.0,120.0,110.0,3.0,76.2382,75.0357
36730.0,20250318.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.198,6.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,31.0,12.0,120.0,100.0,4.0,79.632,79.969635
25570.0,20250105.0,0.05,0.16,0.79,2.9,0.1,1.73,6.0,0.72,1.0,2.3,0.0,0.0,10.0,0.198,1.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,12.0,5000.0,40.0,5.0,200.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.204,63.934067
45053.0,20250605.0,0.05,0.1,0.85,3.0,0.0,1.75,2.0,14.6,5.0,0.517,0.0,0.0,8.0,0.5,0.0,0.0,0.0,0.0,4000.0,20.0,100.0,10.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,30.0,8.0,130.0,100.0,10.0,80.6437,79.6858
28573.0,20250217.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,5.0,0.9,0.0,0.0,10.0,0.2475,11.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,12.0,5000.0,30.0,6.0,180.0,110.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6777,73.69559
31510.0,20250227.0,0.1,0.0,0.9,2.8,0.2,1.5,2.0,3.5,3.0,12.0,0.0,0.0,13.0,0.11,11.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1174.0,11.0,5011.0,30.0,8.0,200.0,110.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6935,75.48409
