differing_column,row1_index,row2_index,condition_case
Formula SAM 3,37045,37601,row2
Formula SAM 3,38248,39665,row1
Formula SAM 3,38248,40313,row1
Formula SAM 3,38936,39665,row1
Formula SAM 3,38936,40313,row1
Formula SAM 3,37120,38188,row2
Formula SAM 3,37541,38188,row2
Formula SAM 3,38188,38855,row1
Formula SAM 3,38188,39098,row1
Formula SAM 3,38188,39908,row1
Formula SAM 3,37120,39179,row2
Formula SAM 3,37120,40232,row2
Formula SAM 3,37541,40232,row2
Formula SAM 3,38855,40232,row2
Formula SAM 3,39098,40232,row2
Formula SAM 3,39908,40232,row2
Formula SAM 3,37120,41042,row2
Formula SAM 3,37541,41042,row2
Formula SAM 3,38855,41042,row2
Formula SAM 3,39098,41042,row2
Formula SAM 3,39908,41042,row2
Formula SAM 3,37120,41285,row2
Formula SAM 3,37541,41285,row2
Formula SAM 3,38855,41285,row2
Formula SAM 3,39098,41285,row2
Formula SAM 3,39908,41285,row2
Formula SAM 3,37120,42095,row2
Formula SAM 3,37541,42095,row2
Formula SAM 3,38855,42095,row2
Formula SAM 3,39098,42095,row2
Formula SAM 3,39908,42095,row2
Formula SAM 3,38565,39665,row1
Formula SAM 3,39422,39665,row1
Formula SAM 3,39665,42014,row2
Formula SAM 3,38565,40313,row1
Formula SAM 3,39422,40313,row1
Formula SAM 3,40313,42014,row2
Formula SAM 3,39422,40718,row1
Formula SAM 3,39908,40718,row2
Formula SAM 3,39746,40718,row2
Formula SAM 3,39422,41366,row1
Formula SAM 3,39908,41366,row2
Formula SAM 3,39683,39746,row1
Formula SAM 3,39422,40961,row1
Formula SAM 3,39746,40961,row2
Formula SAM 3,37481,38188,row2
Formula SAM 3,37481,39179,row2
Formula SAM 3,37481,40232,row2
Formula SAM 3,37481,41042,row2
Formula SAM 3,37481,41285,row2
Formula SAM 3,37481,42095,row2
Formula SAM 3,37781,39665,row1
Formula SAM 3,37840,39665,row1
Formula SAM 3,38308,39665,row1
Formula SAM 3,37781,40313,row1
Formula SAM 3,37840,40313,row1
Formula SAM 3,38308,40313,row1
Formula SAM 3,37781,40718,row1
Formula SAM 3,37781,41366,row1
Formula SAM 3,37840,41366,row1
Formula SAM 3,37781,39683,row1
Formula SAM 3,37781,40961,row1
Formula SAM 3,36882,39665,row1
Formula SAM 3,36882,40313,row1
Formula SAM 3,36882,40718,row1
Formula SAM 3,36882,41366,row1
Formula SAM 3,36882,39683,row1
Formula SAM 3,36882,40961,row1
Formula SAM 3,37045,38188,row2
Formula SAM 3,37045,39179,row2
Formula SAM 3,37045,39503,row2
Formula SAM 3,37045,40232,row2
Formula SAM 3,37045,41042,row2
Formula SAM 3,37045,41285,row2
Formula SAM 3,37045,42095,row2
Formula SAM 3,37120,38248,row2
Formula SAM 3,37481,38248,row2
Formula SAM 3,37045,38248,row2
Formula SAM 3,37120,38936,row2
Formula SAM 3,37045,38936,row2
Formula SAM 3,37481,38565,row2
Formula SAM 3,37481,39422,row2
Formula SAM 3,37481,42014,row2
Formula SAM 3,37120,37781,row2
Formula SAM 3,37120,37840,row2
Formula SAM 3,37120,38308,row2
Formula SAM 3,37541,37781,row2
Formula SAM 3,37541,37840,row2
Formula SAM 3,37541,38308,row2
Formula SAM 3,37781,38855,row1
Formula SAM 3,37840,38855,row1
Formula SAM 3,38308,38855,row1
Formula SAM 3,37781,39098,row1
Formula SAM 3,37840,39098,row1
Formula SAM 3,38308,39098,row1
Formula SAM 3,37781,39908,row1
Formula SAM 3,37840,39908,row1
Formula SAM 3,38308,39908,row1
Formula SAM 3,37781,39746,row1
Formula SAM 3,36882,37120,row1
